"IssueNumber","State","Decision","ExactReason","Title"
"30","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done|competing_agent_owner","EAI-TASK-008: Install and verify Codex and Claude Code CLIs for connector gate"
"31","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-009: Rerun Admin Connector readiness after CLI install"
"32","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review|competing_agent_owner","EAI-TASK-010: Close Phase 8.3 and prepare next implementation backlog"
"33","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-011: Controlled Codex connector setup and safe probe verification"
"34","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-012: Verify Claude Code CLI readiness"
"35","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-013: Plan frontend modularization cleanup for admin UI"
"36","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-014: Targeted cleanup of redundant admin entry files"
"37","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-015: Review remaining legacy frontend prototypes"
"38","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-016: Review admin navigation header structure"
"39","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-017: Centralize admin navigation metadata"
"40","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-018: Improve Admin API key lifecycle UX"
"41","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review|competing_agent_owner","EAI-TASK-019: Improve Knowledge Base citation inspection UX"
"42","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-020: Improve extracted document preview readability"
"43","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_blocked|pm_review|competing_agent_owner","EAI-TASK-021: Improve indexing and extraction progress visibility"
"44","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","EAI-TASK-022: Run MVP disposable-folder QA drill"
"45","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-023: Repair persisted wiki build on disposable QA data"
"46","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done|pm_review|competing_agent_owner","EAI-TASK-024: Re-run MVP disposable-folder QA after wiki repair"
"47","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-025: Browser-level UI QA for local MVP"
"48","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-026: Final local MVP acceptance and release-readiness handover"
"49","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-027: Production architecture and release-hardening plan"
"50","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-028: Design production auth users tenants and workspace model"
"51","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-029: Add production identity workspace schema foundation"
"52","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","EAI-TASK-030: Add guarded production migration loader and read-only workspace context"
"53","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-031: Add explicit production migration runner and persisted workspace resolution plan"
"54","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-032: Add production identity repository and guarded workspace persistence resolution"
"55","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-033: Wire production identity repository to guarded persistence adapter"
"56","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done|pm_review|competing_agent_owner","EAI-TASK-034: Connect guarded production identity adapter to PostgreSQL persistence"
"57","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-035: Wire live PostgreSQL client/pool injection for guarded production identity resolution"
"58","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-036: Add explicit server wiring gate for production workspace context helper"
"59","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-037: Create Hermes Operating Manual RC1 and verify autonomous task pickup"
"60","CLOSED","SKIP","not_open|missing_forge_ready|pm_review|competing_agent_owner","EAI-TASK-038: Correct Hermes trigger contract and complete Operating Manual RC1"
"61","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|pm_review|competing_agent_owner","EAI-TASK-039: Harden atomic task claiming and duplicate-dispatch prevention"
"62","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","EPIC: Phase 3 Hermes Worker Reliability Program"
"70","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|pm_review|competing_agent_owner","EAI-TASK-039A: Separate polling and webhook runtime entry paths"
"71","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|pm_review|competing_agent_owner","EAI-TASK-039B: Deploy runtime-mode routing to live Hermes gateway"
"72","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-039C: Repair Hermes gateway platform import and restore message delivery"
"73","CLOSED","SKIP","not_open|missing_forge_ready|competing_agent_owner","EAI-TASK-039B disposable positive control"
"74","CLOSED","SKIP","not_open|missing_forge_ready","EAI-TASK-039B disposable negative control"
"75","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|pm_review|competing_agent_owner","EAI-TASK-039D: Restore Hermes poller queue consumption and prove automatic claim"
"76","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-045A: Provision Hermes host and complete live systemd lifecycle verification"
"77","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","OPS-TEST: Verify Atlas autonomous poller claim handshake"
"78","OPEN","SKIP","missing_pm_ready|missing_forge_ready","OPS-FIX: Make Atlas poller claim transition atomic and idempotent"
"79","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","OPS-AUTO: Establish Forge-triggered execution loop with Atlas reporting"
"80","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","OPS-AUTO HANDSHAKE: Forge trigger context and human-start boundary"
"81","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_blocked","OPS-AUTO PM TEST: Prove fully autonomous Forge execution"
"82","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_blocked","OPS-AUTO PM RETEST: Prove autonomous Forge execution after remediation"
"83","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","OPS-AUTO PM TEST 3: Repeat autonomous Forge execution after #82"
"84","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","DISPOSABLE-DRILL-069-NOOP-20260729T070138Z"
"85","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_blocked","EAI-TASK-046A: Fence Atlas queue ownership and prove clean Hermes disposable completion"
"86","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","DISPOSABLE-DRILL-085-NOOP-20260729T074216Z"
"87","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-046B: Restore authorized Hermes poller and prove clean disposable lifecycle"
"88","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|pm_review|competing_agent_owner","DISPOSABLE-DRILL-087-NOOP-20260729T104431Z"
"89","CLOSED","SKIP","not_open|missing_forge_ready|pm_review|competing_agent_owner","DISPOSABLE-DRILL-087-CLEAN-NOOP-20260729T104752Z"
"90","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","DISPOSABLE-DRILL-069-RERUN-NOOP-20260729T094133Z"
"91","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","DISPOSABLE-DRILL-069-CLAIM-CONFLICT-20260729T100653Z"
"92","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_blocked","EAI-TASK-047: Run 24-hour Hermes reliability soak and verify finalization race handling"
"93","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-047A: Deploy durable Hermes 24-hour soak observer"
"94","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-047B: Verify completed Hermes 24-hour reliability soak"
"95","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-048: Repository Backlog Reduction & Governance Cleanup"
"96","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done|self_controller|maintenance_issue","EAI-TASK-049: Continuous Open-Issue Processing Loop"
"97","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-050: Prevent Duplicate Forge Claims & Self-Reclaim Loop"
"98","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-050: Prevent Duplicate Forge Claims and Maintenance Self-Reclaim"
"99","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done","EAI-TASK-051: Enforce scheduler eligibility rules for PM review issues"
"63","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|pm_review|competing_agent_owner","EAI-TASK-040: Add runtime supervisor and heartbeat foundation"
"64","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-041: Add crash recovery and stale task reconciliation"
"65","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-042: Add bounded retry backoff and failure classification"
"66","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-043: Add structured event log and persistent execution history"
"67","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-044: Add worker health CLI and operational metrics snapshot"
"68","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-045: Add systemd deployment and watchdog recovery"
"69","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|forge_done|dependency_blocked","EAI-TASK-046: Run unattended reliability drill and close Phase 3"
